title,majors,num_majors
Symbiotic transcatheter pacemaker for lifelong energy regene...,Biomedical Engineering,1
Mapping Europe’s rooftop photovoltaic potential with a build...,Environmental Science,1
Metal surface-triggered DNAzyme catalysis for efficient DNA ...,Chemistry,1
Thrombospondin 1 and 2 regulate mesenchymal progenitor cell ...,Biomedical Engineering,1
Stronger institutional performance correlates with ecologica...,"Environmental Science, Political Science",2
Non-traditional fluorescence in quadruple hydrogen bonded su...,Chemistry,1
"Safeguarding, strengthening and expanding river protections ...","Civil Engineering, Environmental Science",2
Chronic pain could be eased by uncoupling the sensory and em...,Psychology,1
"Cell Death Disease turns 15: legacy of service, horizon of c...","Biology, Public Health",2
Economic inequality does not equate to poor well-being or me...,Sociology,1
Dietary thiaminase alters morphology and decreases swimming ...,Data Science,1
Mapping the disease interactome - Nature Reviews Genetics...,Biology,1
Digital restoration and feature recognition of a Qing-Dynast...,"Neuroscience, Artificial Intelligence",2
Digitalization and institutional quality as drivers of globa...,Political Science,1
A Public Image Dataset for Surface Defect Detection of Water...,"Neuroscience, Cognitive Science",2
Targeting metabolic vulnerabilities: REV-ERB agonist SR9009 ...,Biology,1
Cholangiocarcinoma derived exosomes attenuate the anti-tumor...,NONE,0
Ancient DNA and isotope data reflect social diversity in an ...,Sociology,1
Multi-omic analysis of human PHACTR1 signaling networks - Co...,Biology,1
"Synthesis, characterisation and evaluation of polyethylene g...","Materials Science, Chemistry",2
The microbiome at the centre of NAD+ supplementation - Natur...,Biology,1
Renewable integration and AI demand reshaped power grids in ...,Environmental Science,1
Preventive hepatology for MASLD in the MENA region: reframin...,Public Health,1
Should the Loch Ness Monster have a scientific name?...,"Cognitive Science, Biology",2
Constructing lithium-exclusive pathways in LiFePO4 electrode...,"Civil Engineering, Chemistry",2
Writing the CRBN degron - Nature Chemical Biology...,"Biology, Chemistry",2
Reducibility of higher-order networks from dynamics - Nature...,"Mathematics, Neuroscience",2
Rivers accelerate and slow as temperatures rise - Nature Cli...,Environmental Science,1
SoilTech innovations for sustainable soil and food security ...,"Biomedical Engineering, Civil Engineering",2
Climate and traits drive bark decomposition patterns at glob...,Environmental Science,1
Enhancing soil citrulline degrading function to mitigate soi...,Biology,1
Applications of AI in urology - Nature Reviews Urology...,Artificial Intelligence,1
Real-time measurement of the mitochondrial membrane potentia...,"Biomedical Engineering, Finance",2
Bacteria may not be good at chemotaxis - Nature Physics...,Biology,1
GPR110 as a regulator of MASH - Nature Reviews Endocrinology...,"Biology, Public Health",2
2023-2024 El Niño amplifies record sea level surges in Afric...,Environmental Science,1
Spontaneous vortex formation in rotating fluids - Nature Rev...,"Mechanical Engineering, Physics",2
On the use and misuse of pangenome and related terms - Natur...,"Environmental Science, Cognitive Science",2
Enhancing healthcare workers’ safety and well-being through ...,"Psychology, Public Health",2
Updated global prevalence and ethnic diversity of von Willeb...,"Biology, Public Health",2
Towards a unified framework for measuring sustainable and in...,Sociology,1
Concert formats influence how audiences experience live clas...,"Marketing, Sociology",2
RNA polyadenylation altered by TDP43 loss of function - Natu...,"Biology, Neuroscience",2
High-frequency ultrasonography in quantifying paraspinal mus...,Biomedical Engineering,1
SME-TEAM: leveraging trust and ethics for secure and respons...,"Artificial Intelligence, Business",2
How data science competitions accelerate brain health discov...,"Psychology, Neuroscience",2
Glycolytic heterogeneity drives metabolic-targeted therapy i...,"Data Science, Biology",2
The perils of military policing - Nature Human Behaviour...,"Political Science, Psychology",2
Evaluation and optimization of spatial equity in elderly car...,Sociology,1
Kymata Soto Language Dataset: an electro-magnetoencephalogra...,"Neuroscience, Artificial Intelligence",2
Ecological stoichiometry characteristics and influencing fac...,"Environmental Science, Civil Engineering",2
Levers for equitable material use - Nature Sustainability...,Civil Engineering,1
Glycophagy is an ancient bilaterian pathway supporting metab...,Biology,1
Immunologically distinct long COVID after mild acute disease...,Public Health,1
Rethinking early warning systems for the health effects of e...,Public Health,1
From one exoplanet to six thousand - Nature Astronomy...,"Physics, Environmental Science",2
Cross-cultural structures of personal name systems reflect g...,"Marketing, Psychology",2
AI and AR based digital reconstruction of Liangshan Yi lacqu...,"Neuroscience, Data Science",2
A practical Bayesian method for gravitational-wave ringdown ...,Physics,1
Musical stimulation in lactating sows affects pre-weaning pi...,Psychology,1
PIONEARing how DNA sequence composition tunes TF–nucleosome ...,Biology,1
Second best underestimates of malnutrition in an era of mult...,"Sociology, Public Health",2
Expanding the payload scope in antibody-drug conjugates by d...,"Chemistry, Biomedical Engineering",2
"Domain adaptation, self-supervision, and generative augmenta...","Artificial Intelligence, Neuroscience",2
A method for planning cycling networks in traditional villag...,"Sociology, Marketing",2
Energy demand and decarbonization in 2025 and beyond - Natur...,Environmental Science,1
The rise of spatial insights into tumour tissue architecture...,"Biomedical Engineering, Biology",2
Digging for perfection: discourse of deformity in Richard II...,"Sociology, Political Science",2
Consensus-based reporting guideline for participatory develo...,Public Health,1
The importance of radical transparency for responsible carbo...,Environmental Science,1
AI-driven weather forecasts for climate adaptation in India ...,Environmental Science,1
A low-toxicity linezolid analog has potential for use in all...,Chemistry,1
A quiet revolution is turning the waste crisis into opportun...,"Sociology, Cognitive Science",2
The Multi-Sensor and Multi-Temporal Dataset of Multiple Crop...,"Environmental Science, Biology",2
Policymakers and academics envision energy demand reductions...,"Environmental Science, Public Health",2
Where to after COVID-19? Systems thinking for a human-centre...,Public Health,1
Tumour explants as next-generation models of cancer - Nature...,"Biology, Business",2
Mentoring the future of neonatology: program director advice...,"Psychology, Biology",2
Humanoid robots step up their game: how useful are the lates...,"Chemistry, Artificial Intelligence",2
Towards a framework for a new research ecosystem - Humanitie...,"Sociology, Marketing",2
"Configurational effects of personal innovativeness, self-eff...","Marketing, Business",2
LLM use in scholarly writing poses a provenance problem - Na...,"Biology, Artificial Intelligence",2
Serum biomarker enables diagnosis and monitoring of idiopath...,"Biomedical Engineering, Public Health",2
