title,url,source,growth_potential,recession_resistance,automation_resistance,skill_accessibility,cross_industry_collaboration
A photonically linked memristive neural network - Nature Electronics,https://www.nature.com/articles/s41928-025-01536-6,www.nature.com,7.03,5.7,5.24,4.25,7.08
Artificial skin mimics the octopus’s art of disguise,https://www.nature.com/articles/d41586-025-03984-8,www.nature.com,7.2,6.16,5.04,4.96,7.48
Europa’s thick lid - Nature Astronomy,https://www.nature.com/articles/s41550-025-02756-8,www.nature.com,6.73,6.06,5.29,4.66,7.4
Times series InSAR deformation monitoring of Jinchuan mining area based on mini stack technology - Scientific Reports,https://www.nature.com/articles/s41598-026-35018-2,www.nature.com,6.43,7.14,6.37,4.59,7.09
The Knowledge Connector decision support system for multiomics-based precision oncology - Nature Communications,https://www.nature.com/articles/s41467-026-68333-3,www.nature.com,5.13,6.6,4.5,4.77,7.49
Choreographing time: toward therapy-aligned entactogens for complex PTSD - Neuropsychopharmacology,https://www.nature.com/articles/s41386-025-02314-w,www.nature.com,6.81,6.34,4.74,5.2,7.75
Dual genomic localizations and gene regulatory functions of MBD-2 with and without NuRD in Caenorhabditis elegans which lacks DNA methylation - Nature Communications,https://www.nature.com/articles/s41467-026-68592-0,www.nature.com,6.93,6.54,5.36,4.0,7.38
Let’s talk about limitations - Nature Reviews Physics,https://www.nature.com/articles/s42254-025-00913-6,www.nature.com,6.18,5.84,5.84,4.38,6.15
Tightening the Sargassum belt - Nature Geoscience,https://www.nature.com/articles/s41561-025-01886-y,www.nature.com,4.97,6.55,4.52,5.48,7.29
Schools for suicide prevention - Nature Health,https://www.nature.com/articles/s44360-025-00050-5,www.nature.com,6.56,6.0,6.45,4.27,7.42
Gender stereotypes in dance education: a study of implicit biases and intervention strategies in the teaching process - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06314-5,www.nature.com,4.85,6.5,5.6,5.37,7.34
CDK3 drives neuron loss in Alzheimer’s disease - Nature Aging,https://www.nature.com/articles/s43587-026-01065-7,www.nature.com,6.75,6.36,4.81,5.12,7.85
A Benchmark Dataset of Chinese Development Finance with Climate Relevance and SDG Annotations from 2000–2021 - Scientific Data,https://www.nature.com/articles/s41597-026-06605-9,www.nature.com,5.25,6.17,4.54,4.59,7.0
Predicting the fate of tropical forests under intensifying heat,https://www.nature.com/articles/d41586-025-04093-2,www.nature.com,6.3,6.85,6.44,6.23,7.23
A UAV RGB dataset and method for instance tree crown segmentation for biodiversity monitoring - Scientific Reports,https://www.nature.com/articles/s41598-026-36541-y,www.nature.com,6.7,7.34,6.08,6.05,6.91
The future of autologous stem cell transplantation in systemic sclerosis - Nature Reviews Rheumatology,https://www.nature.com/articles/s41584-025-01341-7,www.nature.com,6.61,6.47,5.87,4.4,6.07
"Soluble epoxide hydrolase inhibitory constituents from the Heartwood of Toxicodendron vernicifluum: isolation, kinetic characterization, molecular modeling, and quantitative analysis - Scientific Reports",https://www.nature.com/articles/s41598-026-36728-3,www.nature.com,6.92,6.49,6.02,5.49,7.23
Closing the carbon mismatch - Nature Geoscience,https://www.nature.com/articles/s41561-025-01906-x,www.nature.com,5.05,6.22,5.31,5.14,6.25
Unlocking larger flow and higher temperature with enhanced geothermal systems innovation in 2025 - Nature Reviews Clean Technology,https://www.nature.com/articles/s44359-025-00143-0,www.nature.com,6.55,7.35,6.71,4.26,7.44
Fibroblast heterogeneity in 2025 - Nature Reviews Rheumatology,https://www.nature.com/articles/s41584-025-01345-3,www.nature.com,7.14,6.99,6.21,4.23,7.42
Intermediate-dose TBI/fludarabine conditioning for allogeneic hematopoietic cell transplantation in patients with cutaneous T-cell lymphoma - Bone Marrow Transplantation,https://www.nature.com/articles/s41409-025-02796-8,www.nature.com,6.29,5.71,6.41,4.2,7.33
Evaluating the modified spinal cord injury secondary conditions scale (SCI-SCS) combining severity and mortality-based weights - Spinal Cord,https://www.nature.com/articles/s41393-026-01167-4,www.nature.com,6.86,6.7,6.56,3.77,7.3
Diagnostic whole transcriptome sequencing in a series of 1233 FFPE solid tumor samples - British Journal of Cancer,https://www.nature.com/articles/s41416-025-03307-8,www.nature.com,6.26,7.77,4.37,4.35,7.27
Social image presentation of virtual sports in social media through the analysis of Twitter data - Scientific Reports,https://www.nature.com/articles/s41598-026-36725-6,www.nature.com,6.64,6.52,5.54,4.77,7.19
GWAS on idiopathic achalasia - Nature Reviews Gastroenterology & Hepatology,https://www.nature.com/articles/s41575-025-01161-w,www.nature.com,4.81,6.88,4.94,6.19,7.04
The organised crime of kidnapping in Nigeria: a quantitative study of the factors influencing its severity - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06412-4,www.nature.com,6.63,5.74,5.86,4.93,7.1
Quantifying customer sentiment for automobile brand perception analysis using machine learning on Twitter - Scientific Reports,https://www.nature.com/articles/s41598-026-35637-9,www.nature.com,6.67,6.17,4.75,4.82,7.29
Green ammonia presents an opportunity to advance energy and food system sustainability in India - Communications Sustainability,https://www.nature.com/articles/s44458-025-00013-7,www.nature.com,6.53,5.87,5.93,4.54,7.28
"Squishing, squeezing and stretching age hematopoietic stem cells - Nature Aging",https://www.nature.com/articles/s43587-025-01044-4,www.nature.com,6.38,7.33,5.95,4.42,7.18
Mini-mint ice cubes for early postoperative thirst relief in orthopedic patients undergoing general anesthesia: a randomized controlled trial - Scientific Reports,https://www.nature.com/articles/s41598-026-36593-0,www.nature.com,6.28,4.9,5.51,5.6,7.34
Emerging concepts and novel mechanisms in organ fibrosis - npj Regenerative Medicine,https://www.nature.com/articles/s41536-025-00446-7,www.nature.com,6.67,6.96,5.52,5.34,7.4
Association between thyroid hormone sensitivity indices and renal function in community-dwelling euthyroid older adults: a cross-sectional study - Scientific Reports,https://www.nature.com/articles/s41598-026-36476-4,www.nature.com,6.64,6.99,5.54,4.04,7.08
Anthropogenic warming projected to drive a decline in global tropical cyclone frequency in CMIP6 simulations - npj Climate and Atmospheric Science,https://www.nature.com/articles/s41612-026-01330-x,www.nature.com,5.31,6.57,4.79,5.76,7.06
Advancing transdisciplinarity through library–academic collaboration - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-05492-6,www.nature.com,6.75,6.72,6.04,4.41,6.09
Molecular insights on the proangiogenic effects of VEGF like growth factor derived from horseshoe crab perivitelline fluid - Scientific Reports,https://www.nature.com/articles/s41598-025-32706-3,www.nature.com,6.29,7.05,4.77,6.05,6.17
Immunizing against dementia? - Nature Reviews Microbiology,https://www.nature.com/articles/s41579-025-01275-7,www.nature.com,6.71,7.19,5.3,5.47,7.57
Could lessons from medical research ethics inform better conversations and governance for climate engineering research - npj Climate Action,https://www.nature.com/articles/s44168-025-00333-3,www.nature.com,6.93,6.81,5.98,4.92,7.55
Developing super-tortillas to address malnutrition in Latin America,https://www.nature.com/articles/d41586-026-00087-w,www.nature.com,6.33,5.19,5.77,4.79,5.85
Can boomerangs bounce?,https://www.nature.com/articles/d41586-025-03989-3,www.nature.com,6.71,5.82,5.48,6.01,5.63
"Enhancing seed, land and water management in humanitarian interventions for urban areas under siege - Nature Water",https://www.nature.com/articles/s44221-025-00556-y,www.nature.com,6.53,6.0,6.78,4.52,7.29
Fuzzy weighted natural nearest neighbor based density peak clustering - Scientific Reports,https://www.nature.com/articles/s41598-025-34175-0,www.nature.com,7.19,5.77,6.45,5.61,7.36
First evidence of naturally vertically transmitted Coxiella-like endosymbionts in Haemaphysalis Bispinosa from dairy cattle in Indonesia - Scientific Reports,https://www.nature.com/articles/s41598-025-34248-0,www.nature.com,6.39,6.35,5.9,6.4,6.88
Do their ears hang low? The genetics of dogs’ adorable floppy ears,https://www.nature.com/articles/d41586-026-00071-4,www.nature.com,5.74,6.55,4.85,5.01,5.66
Chronic spontaneous urticaria is associated with elevated serum zonulin levels - Scientific Reports,https://www.nature.com/articles/s41598-026-35394-9,www.nature.com,6.37,7.3,5.03,5.04,7.24
A cross-linguistic investigation of /h/ symbolism: the case of H2O - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06397-0,www.nature.com,6.39,6.39,5.65,6.32,5.64
Comment to: Rethinking maritime security from the bottom up: Four principles to broaden perspectives and centre humans and ecosystems - npj Ocean Sustainability,https://www.nature.com/articles/s44183-025-00156-z,www.nature.com,7.0,6.43,6.23,5.56,7.29
"Sustainable cost recovery principles can drive equitable, ongoing funding of critical urban sanitation services - npj Clean Water",https://www.nature.com/articles/s41545-024-00399-2,www.nature.com,4.8,6.36,5.6,5.07,7.35
Anti-BCMA CAR-T cells attenuate microglial activation in progressive multiple sclerosis: indicating a plasma cell-microglia crosstalk - Signal Transduction and Targeted Therapy,https://www.nature.com/articles/s41392-025-02510-6,www.nature.com,5.17,6.09,5.16,4.74,7.29
Weakly supervised colorectal gland segmentation through self-supervised learning and attention-based pseudo-labeling - Scientific Reports,https://www.nature.com/articles/s41598-026-36256-0,www.nature.com,5.2,6.59,4.5,5.02,7.33
30 m-resolution annual crop type maps in Northeast China from 2001 to 2022 - Scientific Data,https://www.nature.com/articles/s41597-025-06516-1,www.nature.com,6.06,6.51,5.47,5.32,5.71
Large-scale analysis identifies metabolites associated with type 2 diabetes - Nature Medicine,https://www.nature.com/articles/s41591-025-04147-y,www.nature.com,6.89,6.42,5.62,5.95,7.66
Network separation modeling and quantum computing for developing wildfire fuelbreak strategy - Communications Engineering,https://www.nature.com/articles/s44172-026-00585-9,www.nature.com,7.19,6.78,6.94,5.44,7.35
Tensions in air and rail integration based on a European longitudinal case study with stakeholders - npj Sustainable Mobility and Transport,https://www.nature.com/articles/s44333-025-00062-4,www.nature.com,6.31,6.51,4.89,4.78,6.93
Multiparametric comparative assessment of surgical efficacy in patients with SUI and POP versus normal controls - Scientific Reports,https://www.nature.com/articles/s41598-026-35587-2,www.nature.com,6.34,6.43,5.6,4.29,6.09
"New phase, new faces, same mission - Nature Reviews Electrical Engineering",https://www.nature.com/articles/s44287-025-00259-2,www.nature.com,7.49,7.0,6.55,4.24,6.33
Fine particulate matter exacerbates childhood asthma via DNMT3A-mediated modulation of GPX4 DNA methylation - Scientific Reports,https://www.nature.com/articles/s41598-026-35962-z,www.nature.com,7.03,7.27,5.19,6.28,7.27
Addressing food waste and hunger together - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02337-9,www.nature.com,6.24,5.59,4.66,5.12,7.17
Bacterial richness for enhanced soil carbon storage - Nature Food,https://www.nature.com/articles/s43016-025-01247-3,www.nature.com,6.74,6.08,5.85,3.87,6.88
Bringing marine microbiome research into the classroom is an essential step toward a climate literate society - npj Climate Action,https://www.nature.com/articles/s44168-025-00325-3,www.nature.com,5.12,6.39,4.56,5.84,7.16
Compact UV spectral imager - Nature Reviews Electrical Engineering,https://www.nature.com/articles/s44287-025-00257-4,www.nature.com,7.72,7.07,5.97,4.67,7.57
Fibroblast spatial heterogeneity in Crohn’s disease fistulae - Nature Reviews Gastroenterology & Hepatology,https://www.nature.com/articles/s41575-025-01160-x,www.nature.com,7.06,6.91,6.04,5.47,7.27
Advancing transformational leadership for climate action - npj Climate Action,https://www.nature.com/articles/s44168-025-00329-z,www.nature.com,5.73,7.1,4.83,5.13,7.7
Carbon Dots and mesoporous silica nanocomposites improve spray-induced gene silencing to suppress plant RNA and DNA viruses - Scientific Reports,https://www.nature.com/articles/s41598-026-36331-6,www.nature.com,6.57,6.66,6.21,5.51,7.22
"Late Holocene fast-ice dynamics around the Northern Victoria Land coast, Antarctica - Nature Communications",https://www.nature.com/articles/s41467-025-67781-7,www.nature.com,4.87,6.88,4.57,4.9,7.32
How ageing harms the body’s response to raging infection,https://www.nature.com/articles/d41586-026-00159-x,www.nature.com,6.71,6.68,5.96,6.25,7.43
The role of take-over cue informativity in interrupted take-over requests in a semi-automated driving scenario - Scientific Reports,https://www.nature.com/articles/s41598-026-36614-y,www.nature.com,6.25,5.67,5.1,5.86,7.23
Integrated μECoG–CMOS system enables high-density neural recording - Nature Sensors,https://www.nature.com/articles/s44460-025-00020-0,www.nature.com,6.87,6.71,6.53,4.67,7.16
Incorporating captured carbon into polymers for essential products - Nature Reviews Clean Technology,https://www.nature.com/articles/s44359-025-00114-5,www.nature.com,6.36,7.09,6.42,4.45,7.39
The sequential use of IVF disposable devices doesn’t cause cumulative toxicity unless a defective device compromises the entire procedure - Scientific Reports,https://www.nature.com/articles/s41598-026-35128-x,www.nature.com,6.96,7.19,6.05,4.25,7.25
When science meets violence - Nature Medicine,https://www.nature.com/articles/s41591-025-04162-z,www.nature.com,7.4,7.6,5.72,4.13,7.67
Hyperpolypharmacy in patients with chronic kidney disease and its impact on clinical outcomes - Scientific Reports,https://www.nature.com/articles/s41598-025-25632-x,www.nature.com,6.84,6.44,5.43,5.06,7.86
Traceability for protein sequence to function - Nature Physics,https://www.nature.com/articles/s41567-025-03130-1,www.nature.com,6.48,6.65,5.49,4.68,6.98
Reweaving the Threads of Korean History: AI-Driven Restoration of the Daegu-bu Household Registers (1681–1876) - Scientific Data,https://www.nature.com/articles/s41597-025-06299-5,www.nature.com,4.8,6.16,4.2,5.24,7.37
Transdiagnostic Internet-delivered intervention for children and adolescents with anxiety and depressive disorders: a randomized controlled trial - npj Digital Medicine,https://www.nature.com/articles/s41746-026-02341-x,www.nature.com,6.68,5.61,5.83,4.77,7.04
How did birds evolve? The answer is wilder than anyone thought,https://www.nature.com/articles/d41586-026-00076-z,www.nature.com,6.33,6.82,5.79,6.47,5.61
Companionship in code: AI’s role in the future of human connection - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-05536-x,www.nature.com,7.21,6.81,5.64,6.12,6.3
Programmed ‘DNA splicing’ removes transposons from genes - Nature Reviews Molecular Cell Biology,https://www.nature.com/articles/s41580-025-00943-z,www.nature.com,6.56,6.29,5.77,4.89,7.55
"Exploring the multifaceted impacts of artificial intelligence on public organizations, business, and society - Humanities and Social Sciences Communications",https://www.nature.com/articles/s41599-024-03913-6,www.nature.com,6.73,6.45,5.77,4.27,7.29
Bridging the fuel tax revenue gap in the move to electric mobility - Nature Sustainability,https://www.nature.com/articles/s41893-025-01712-8,www.nature.com,7.52,6.93,6.61,4.58,7.25
ICT investment and carbon emission efficiency in regional port groups: evidence from Chinese coastal provinces - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-026-06509-4,www.nature.com,4.88,6.08,5.37,6.32,7.17
Why cancer can come back years later — and how to stop it,https://www.nature.com/articles/d41586-025-04149-3,www.nature.com,6.68,7.48,4.86,4.63,7.6
Earth observation as enabler for implementing the EU regulation on deforestation-free products - npj Climate Action,https://www.nature.com/articles/s44168-025-00276-9,www.nature.com,5.06,6.31,5.19,5.33,7.19
Putting children in slums at the heart of urban futures - Nature Cities,https://www.nature.com/articles/s44284-025-00327-6,www.nature.com,7.17,6.28,6.56,4.44,7.24
Plug-and-play plasma: decentralised water decontamination for developing countries - npj Clean Water,https://www.nature.com/articles/s41545-025-00548-1,www.nature.com,7.2,6.67,6.31,4.03,7.71
Increased deciduous tree dominance reduces wildfire carbon losses in boreal forests - Nature Climate Change,https://www.nature.com/articles/s41558-025-02539-z,www.nature.com,4.93,6.53,5.14,6.06,6.05
AI tools boost individual scientists but could limit research as a whole,https://www.nature.com/articles/d41586-025-04092-3,www.nature.com,7.72,6.49,5.56,5.81,6.48
"Flexible ferroelectric biomaterials for skin, neural, and musculoskeletal tissue repair - npj Flexible Electronics",https://www.nature.com/articles/s41528-026-00532-w,www.nature.com,6.81,6.89,6.23,3.5,7.55
Stretchy organic LED devices with an ‘exciplex’ state are highly efficient,https://www.nature.com/articles/d41586-025-04164-4,www.nature.com,6.87,6.78,6.3,4.54,7.24
Beyond the metropolis myth - Nature Cities,https://www.nature.com/articles/s44284-025-00324-9,www.nature.com,6.45,5.6,6.07,4.75,7.09
"The Absence of the Rational Economic Man: A Textual Analysis of Ethics, Emotions, and Economic Choices in Sheeba E.K.’s “The Surgeon” (2022) - Humanities and Social Sciences Communications",https://www.nature.com/articles/s41599-025-06428-w,www.nature.com,7.23,6.5,5.84,5.92,5.84
Variations in the technical performance of elite female volleyball: evidence from a new round model - Scientific Reports,https://www.nature.com/articles/s41598-026-36371-y,www.nature.com,6.24,5.72,5.17,4.63,7.11
Real-time tracking of the intramolecular vibrational dynamics of liquid water - Communications Chemistry,https://www.nature.com/articles/s42004-025-01863-x,www.nature.com,6.69,6.63,6.23,3.93,6.89
Toward an understanding of the intrinsic kidney response to acute injury - Nature Reviews Nephrology,https://www.nature.com/articles/s41581-025-01045-x,www.nature.com,6.41,7.04,5.34,4.29,7.07
Correlation analysis of the leaf color presentation of three red leaved cultivars of Aglaonema modestum - Scientific Reports,https://www.nature.com/articles/s41598-026-36250-6,www.nature.com,6.94,6.67,6.43,5.85,7.09
Enriching African genome representation through the AGenDA project - Nature,https://www.nature.com/articles/s41586-025-09935-7,www.nature.com,6.89,6.82,5.41,4.61,7.44
Cilium-by-cilium: unveiling hidden proteomic diversity and the molecular basis of ciliopathies - Signal Transduction and Targeted Therapy,https://www.nature.com/articles/s41392-025-02555-7,www.nature.com,6.79,7.37,5.24,4.45,7.16
Sesamin alleviates androgenetic alopecia by targeting the AR MAPK Wnt axis - Scientific Reports,https://www.nature.com/articles/s41598-025-32856-4,www.nature.com,4.77,7.06,4.69,4.91,5.91
The link between the gender role self-concept and psychobiological stress in everyday life: an ecological momentary assessment study - Scientific Reports,https://www.nature.com/articles/s41598-026-36381-w,www.nature.com,5.59,7.11,4.91,4.88,7.26
Aligning climate-smart marine spatial planning and ecoscape restoration for global biodiversity recovery - Nature Reviews Biodiversity,https://www.nature.com/articles/s44358-025-00116-y,www.nature.com,6.66,5.8,5.18,5.37,7.32
Measuring context sensitivity in artificial intelligence content moderation - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02363-7,www.nature.com,6.43,5.48,5.53,5.21,7.29
Consumers of nitrite help nitrite accumulate in anoxic oceanic zones - Nature Geoscience,https://www.nature.com/articles/s41561-025-01850-w,www.nature.com,6.72,6.16,5.96,4.46,6.99
Data issues hinder further success in China’s biodiversity conservation - Nature Reviews Biodiversity,https://www.nature.com/articles/s44358-025-00122-0,www.nature.com,6.71,6.06,6.37,4.57,7.32
A qualitative study exploring Malaysian women’s preferences for authority or emotional appeals in public health messages promoting breast cancer screening - Scientific Reports,https://www.nature.com/articles/s41598-025-31687-7,www.nature.com,6.53,6.76,5.93,5.7,7.06
Advances in battery technologies for smart grids in 2025 - Nature Reviews Clean Technology,https://www.nature.com/articles/s44359-025-00134-1,www.nature.com,6.78,6.5,5.84,4.27,7.59
Structure-based engineering of bicarbonate transport activity unlocks the CO2-concentrating mechanism - Nature Plants,https://www.nature.com/articles/s41477-025-02208-1,www.nature.com,4.86,6.6,5.1,4.92,6.86
Governance of urban green spaces as nature-based solutions in Korea and Germany - npj Urban Sustainability,https://www.nature.com/articles/s42949-026-00340-1,www.nature.com,6.33,6.76,5.83,4.76,7.29
Leveraging LLM-based agents for social science research: insights from citation network simulations - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06193-w,www.nature.com,7.23,5.65,5.56,5.85,5.83
‘Shattered’: US scientists speak out about how Trump policies disrupted their careers,https://www.nature.com/articles/d41586-026-00091-0,www.nature.com,6.93,7.44,5.81,4.57,7.23
Lessons from Rwanda’s response to the Marburg virus outbreak - Nature Medicine,https://www.nature.com/articles/s41591-025-04163-y,www.nature.com,6.64,6.75,5.53,5.91,7.45
"Cell signaling and transcriptional regulation of osteoclast lineage commitment, differentiation, bone resorption and diseases - Cell Discovery",https://www.nature.com/articles/s41421-025-00853-6,www.nature.com,6.77,7.01,6.41,5.22,7.34
Oldest known poison arrows show Stone Age humans’ technological talents,https://www.nature.com/articles/d41586-026-00051-8,www.nature.com,6.52,6.56,5.78,4.94,7.19
Identifying ecological restoration zones based on ecological security patterns in a resource transitioning district - Scientific Reports,https://www.nature.com/articles/s41598-026-36110-3,www.nature.com,6.36,6.59,6.72,4.77,7.0
Microbial ethanol production in patients with auto-brewery syndrome - Nature Microbiology,https://www.nature.com/articles/s41564-025-02250-x,www.nature.com,6.42,6.28,5.72,5.91,7.53
Hydroelastic waves induced by initial disturbances in ice-covered waters with currents - Scientific Reports,https://www.nature.com/articles/s41598-025-34341-4,www.nature.com,6.78,6.72,6.5,6.0,7.03
Real-time prediction of influenza and respiratory syncytial virus epidemics in primary care using the Gompertz model - Scientific Reports,https://www.nature.com/articles/s41598-026-36519-w,www.nature.com,6.3,7.0,4.34,4.59,6.27
Scaling laws reveal the extent of Earth’s drying headwaters - Nature Water,https://www.nature.com/articles/s44221-025-00565-x,www.nature.com,6.21,6.79,5.04,5.44,7.22
Presence of primordial Mg can explain the seismic low-velocity layer in the Earth’s outermost outer core - Nature Communications,https://www.nature.com/articles/s41467-026-68572-4,www.nature.com,6.11,5.46,6.07,4.65,6.74
MASLD as a complication of obesity must include liver risk stratification - Nature Medicine,https://www.nature.com/articles/s41591-025-04130-7,www.nature.com,4.67,5.1,4.84,6.27,5.75
Global firms choose to invest in well-connected airport cities - Nature Cities,https://www.nature.com/articles/s44284-025-00362-3,www.nature.com,6.69,6.78,6.13,4.33,7.1
"Regulation of hydrothermal kinetics unlocks record efficiency in Sb2(S,Se)3 solar cells - Nature Energy",https://www.nature.com/articles/s41560-025-01956-w,www.nature.com,7.08,6.66,6.1,4.72,6.33
Combat the human-made causes of Spain’s wildfires,https://www.nature.com/articles/d41586-025-03091-8,www.nature.com,6.19,6.62,6.51,5.92,6.8
Let’s talk about language—and its role for replicability - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-04381-2,www.nature.com,6.44,6.22,5.74,4.49,5.87
Identification and verification of SPP1 in anoikis as a prognostic biomarker for intestinal metaplasia and gastric cancer - Scientific Reports,https://www.nature.com/articles/s41598-026-36714-9,www.nature.com,5.13,6.74,4.93,6.26,7.23
"Connecting screens: the effect of online playful interactions on social, emotional, and cognitive functioning among older adults - Humanities and Social Sciences Communications",https://www.nature.com/articles/s41599-025-05935-0,www.nature.com,7.03,6.39,5.9,4.85,6.11
"Towards global healthy longevity: report from the 1st World Longevity Summit in Kyotango, Japan - npj Aging",https://www.nature.com/articles/s41514-025-00279-0,www.nature.com,6.9,6.39,6.03,4.16,7.54
Firefighting robots should be made responsibly - Nature Machine Intelligence,https://www.nature.com/articles/s42256-025-01037-3,www.nature.com,7.51,6.18,6.02,5.85,6.3
Agronomic management drives the wheat yield plateau in high-yielding environments of northwest Europe - Nature Food,https://www.nature.com/articles/s43016-025-01286-w,www.nature.com,6.28,6.2,6.63,4.8,5.6
A rat model of Immunologic and hypertensive kidney injury - Scientific Reports,https://www.nature.com/articles/s41598-025-23316-0,www.nature.com,6.74,6.59,5.58,4.31,7.25
Distinct sympathetic projections to brown fat regulate thermogenesis and glucose tolerance - Nature Metabolism,https://www.nature.com/articles/s42255-025-01429-0,www.nature.com,6.48,6.52,5.82,4.6,5.74
The ritual stance affects perceptions of effort - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06309-2,www.nature.com,4.67,6.2,4.88,6.16,7.38
Spreading inflammation via the skin–joint axis - Nature Reviews Immunology,https://www.nature.com/articles/s41577-026-01272-8,www.nature.com,6.59,6.82,6.29,4.67,6.35
Och AI the noo from SIU - Nature Reviews Urology,https://www.nature.com/articles/s41585-025-01118-3,www.nature.com,7.63,6.38,5.4,4.06,7.96
The theory of planned behavior partly explains why adults with chronic musculoskeletal pain consider using medical cannabis for pain management - Scientific Reports,https://www.nature.com/articles/s41598-025-33616-0,www.nature.com,6.5,6.01,6.61,5.49,7.35
ALS: a field in motion - Scientific Reports,https://www.nature.com/articles/s41598-025-33163-8,www.nature.com,6.43,6.53,6.01,5.58,7.12
The impact of agricultural green development on common prosperity for farmers in rural areas - Scientific Reports,https://www.nature.com/articles/s41598-026-35978-5,www.nature.com,4.57,6.4,5.26,4.99,6.77
Artificial intelligence and precision medicine - Scientific Reports,https://www.nature.com/articles/s41598-026-35404-w,www.nature.com,5.7,6.74,4.46,4.85,7.68
Urinary complement C3 fragment levels and their clinical relevance in MPO-ANCA-associated vasculitis - Scientific Reports,https://www.nature.com/articles/s41598-026-36417-1,www.nature.com,6.87,6.94,6.14,4.5,7.17
When better data meets better design: How EHR data usability and system usability shape physicians’ cognitive load - npj Digital Medicine,https://www.nature.com/articles/s41746-025-02243-4,www.nature.com,6.76,5.65,5.61,6.1,7.24
"Cryo-electron tomography reveals coupled flavivirus replication, budding and maturation - Nature Communications",https://www.nature.com/articles/s41467-026-68483-4,www.nature.com,6.48,6.62,5.91,4.4,5.81
Ex post impact assessment of Marwa rehabilitation on irrigation performance under water scarcity in Egypt - Scientific Reports,https://www.nature.com/articles/s41598-025-34200-2,www.nature.com,5.23,6.46,5.41,5.11,6.92
Biochemical and epigenomic dissection of TFIIE function reveals gene-selective requirement in human transcription - Scientific Reports,https://www.nature.com/articles/s41598-026-36090-4,www.nature.com,4.64,6.29,4.82,4.71,7.38
Ophthalmic anaesthesia: a declining skill in anaesthetic training? - Eye,https://www.nature.com/articles/s41433-025-03914-y,www.nature.com,6.61,6.14,5.81,4.43,6.95
Biomolecular condensates as electrochemical powerhouses - Nature Materials,https://www.nature.com/articles/s41563-025-02440-2,www.nature.com,7.81,6.78,6.16,3.99,7.42
Intrinsically stretchable 2D MoS2 transistors - Nature Communications,https://www.nature.com/articles/s41467-026-68504-2,www.nature.com,7.34,5.96,6.47,4.52,5.96
α-Amylase in Aspergillus oryzae-fermented rice promotes the growth of human symbiotic Faecalibacterium Prausnitzii - Scientific Reports,https://www.nature.com/articles/s41598-026-36928-x,www.nature.com,6.54,6.08,5.1,6.5,7.1
Metalens-style image synthesis for metalens imaging via image-to-image translation - Scientific Reports,https://www.nature.com/articles/s41598-026-36150-9,www.nature.com,6.52,6.05,5.83,5.65,7.19
Plasma exosomal hsa-miR-339-5p is associated with NOD-like receptor family CARD domain-containing 5 in heart failure with reduced ejection fraction - Scientific Reports,https://www.nature.com/articles/s41598-026-35519-0,www.nature.com,6.3,7.11,5.42,4.21,5.79
The 2025 Blatten disaster in the Swiss Alps followed exceptional warming and highlights the vulnerability of people and heritage in glaciated landscapes - Communications Earth & Environment,https://www.nature.com/articles/s43247-025-02994-8,www.nature.com,4.69,6.5,5.08,5.34,5.65
Helioseismic evidence that the solar dynamo originates near the tachocline - Scientific Reports,https://www.nature.com/articles/s41598-025-34336-1,www.nature.com,6.67,7.66,5.48,5.43,7.19
Pick a color to control TRP channels - Nature Chemical Biology,https://www.nature.com/articles/s41589-025-02087-9,www.nature.com,6.83,6.18,5.82,5.64,7.19
Interpretable Kolmogorov-Arnold networks for enzyme commission number prediction - npj Artificial Intelligence,https://www.nature.com/articles/s44387-025-00059-x,www.nature.com,5.33,6.72,4.37,5.79,7.28
Risk of total hip arthroplasty following lumbar fusion surgery in a nationwide cohort study - Scientific Reports,https://www.nature.com/articles/s41598-026-35894-8,www.nature.com,6.62,6.79,6.24,5.0,5.97
Natural source zone depletion predicts finite longevity for petroleum products in soil and groundwater - Scientific Reports,https://www.nature.com/articles/s41598-025-34718-5,www.nature.com,6.44,6.48,6.76,4.4,5.91
Efficient chemical reprogramming of human T cells to pluripotent stem cells - Cell Research,https://www.nature.com/articles/s41422-025-01216-2,www.nature.com,6.35,5.58,5.91,4.72,7.6
"Palgrave Communications – connecting research in the humanities, social sciences and business - Humanities and Social Sciences Communications",https://www.nature.com/articles/palcomms20146,www.nature.com,6.58,7.22,5.66,4.64,6.48
"Distributed multitudes of bio-inspired, biodegradable Lagrangian sensors for environmental sustainability - Nature Communications",https://www.nature.com/articles/s41467-026-68369-5,www.nature.com,7.29,6.64,6.59,5.68,7.51
Satellite swarms set to photobomb more than 95% of some telescopes’ images,https://www.nature.com/articles/d41586-025-03953-1,www.nature.com,6.32,5.54,5.42,6.06,7.11
